species,family,order,mass_g,range_km2,year,attractiveness,article,views_mean_monthly,works_2015_2024
Melidectes leucostephes,Meliphagidae,Passeriformes,75.25,11363.02,1874,5.6207,Vogelkop melidectes,21.24,6
Melidectes ochromelas,Meliphagidae,Passeriformes,63.0,51249.23,1874,5.1251,Cinnamon-browed melidectes,23.76,11
Melidectes rufocrissalis,Meliphagidae,Passeriformes,71.6,64711.26,1915,5.6341,Yellow-browed melidectes,27.55,10
Melidectes torquatus,Meliphagidae,Passeriformes,44.93,95822.01,1874,5.8524,Ornate melidectes,26.67,9
Melidora macrorrhina,Alcedinidae,Coraciiformes,97.0,654694.19,1827,6.8692,Hook-billed kingfisher,102.53,10
Melierax canorus,Accipitridae,Accipitriformes,663.32,2246754.63,1799,6.1465,Pale chanting goshawk,440.23,25
Melierax metabates,Accipitridae,Accipitriformes,674.53,12484209.96,1861,6.9183,Dark chanting goshawk,354.78,22
Melierax poliopterus,Accipitridae,Accipitriformes,629.88,2071175.93,1868,6.7839,Eastern chanting goshawk,256.63,16
Melignomon eisentrauti,Indicatoridae,Piciformes,24.2,75034.97,1981,4.4854,Yellow-footed honeyguide,74.41,11
Melignomon zenkeri,Indicatoridae,Piciformes,23.6,1324791.27,1898,4.4193,Zenker's honeyguide,44.03,8
Melilestes megarhynchus,Meliphagidae,Passeriformes,43.76,565758.84,1858,5.2218,Long-billed honeyeater,30.11,14
Meliphacator provocator,Meliphagidae,Passeriformes,33.1,432.99,1875,5.5808,Kadavu honeyeater,43.48,6
Meliphaga aruensis,Meliphagidae,Passeriformes,26.2,665428.4,1884,5.1274,Puff-backed honeyeater,23.21,11
Meliphaga lewinii,Meliphagidae,Passeriformes,33.58,643140.81,1837,5.5996,Lewin's honeyeater,238.73,21
Meliphaga notata,Meliphagidae,Passeriformes,26.44,110238.59,1867,5.2406,Yellow-spotted honeyeater,101.16,12
Melipotes ater,Meliphagidae,Passeriformes,114.0,5540.01,1911,5.7974,Spangled honeyeater,27.02,5
Melipotes fumigatus,Meliphagidae,Passeriformes,58.6,146497.21,1886,5.8365,Common smoky honeyeater,44.52,11
Melipotes gymnops,Meliphagidae,Passeriformes,54.8,7348.93,1874,6.1033,Arfak honeyeater,32.19,7
Melithreptus affinis,Meliphagidae,Passeriformes,15.0,68030.0,1839,5.9798,Black-headed honeyeater,87.78,12
Melithreptus albogularis,Meliphagidae,Passeriformes,11.03,1473520.94,1848,6.1178,White-throated honeyeater,175.53,16
Melithreptus brevirostris,Meliphagidae,Passeriformes,12.6,2003053.24,1827,5.1192,Brown-headed honeyeater,101.12,17
Melithreptus chloropsis,Meliphagidae,Passeriformes,14.01,216940.62,1848,5.5087,Gilbert's honeyeater,74.72,8
Melithreptus lunatus,Meliphagidae,Passeriformes,14.01,1242453.6,1802,6.4235,White-naped honeyeater,161.88,15
Melithreptus validirostris,Meliphagidae,Passeriformes,24.8,60660.3,1837,5.8578,Strong-billed honeyeater,92.61,14
Melitograis gilolensis,Meliphagidae,Passeriformes,54.0,22755.07,1850,5.4226,White-streaked friarbird,37.64,7
Mellisuga helenae,Trochilidae,Caprimulgiformes,2.2,108875.85,1850,7.1219,Bee hummingbird,14066.54,15
Mellisuga minima,Trochilidae,Caprimulgiformes,2.4,86168.43,1758,6.5383,Vervain hummingbird,409.83,11
Melloria quoyi,Artamidae,Passeriformes,168.0,1145717.61,1827,5.6375,Black butcherbird,985.98,10
Melocichla mentalis,Macrosphenidae,Passeriformes,33.2,6248614.06,1843,4.7951,Moustached grass warbler,43.48,12
Melopsittacus undulatus,Psittacidae,Psittaciformes,28.99,5879807.51,1805,6.403,,,405
Melospiza georgiana,Passerellidae,Passeriformes,16.1,6032762.64,1790,5.6854,Swamp sparrow,817.18,116
